[<serial.tools.list_ports_linux.SysFS object at 0x7f508a6fba90>]
/dev/ttyACM0 - CH554_CDC
Fusing layers... 
correct [13.387862167364482, 1590.7266890458395]
correct [5.046820275485503, 1569.698513798766]
correct [2.2915723520190907, 1561.6898768941253]
correct [-41.363266795373775, 1541.4952735305808]
correct [-69.34216987059719, 1541.3638867722577]
correct [-130.3870465981768, 1541.0772247668206]
correct [-54.01985767466047, 1537.4379899246035]
correct [-76.85276326360125, 1537.330768371265]
correct [-112.37061433237116, 1537.163979298013]
correct [-81.16135849319548, 1514.322604562359]
correct [-90.9994348795854, 1510.2785564817884]
correct [-93.49223694266949, 1510.2668504766843]
correct [-95.98503155525695, 1510.255144506567]
correct [-23.711394514649456, 1506.5965675155471]
correct [-26.21676341403182, 1499.5885067593224]
correct [-28.691555764139753, 1499.5768853264333]
correct [-65.81344101575877, 1499.4025638330943]
correct [-65.81344101575877, 1499.4025638330943]
correct [-58.18505095428397, 1488.4441220390102]
correct [-58.18505095428397, 1488.4441220390102]
correct [-38.508937561206196, 1484.538670304023]
correct [-101.01498960675886, 1459.2582911341565]
correct [-102.72927324168181, 1445.257530368006]
correct [-105.11568221290548, 1445.2463239766075]
correct [-134.90545543946624, 1428.1153955349075]
correct [-137.26403680578105, 1428.1043198197829]
correct [-107.65172226292495, 1404.2559240890573]
correct [-116.11124637076804, 1354.2424876231316]
correct [-137.5646358673598, 1110.2697237475975]
correct [-16.551955655605276, 1086.850656190217]
correct [12.151479373580019, 1084.9864015291291]
correct [10.35594693850296, 1084.9779698481059]
correct [-18.372594374219826, 1084.843062846774]
correct [-25.55472970240052, 1084.8093360964413]
correct [-34.51713519210993, 1080.7694000984695]
correct [27.50922033082189, 1070.0664069301638]
correct [-192.12102967687713, 1046.0471093344177]
[-62.49302092919429, 1428.7808090219783]
-13.996523068441386
[-291.56883115739856, 1696.2384733505144]
[-291.56883115739856, 1696.2384733505144]
[-221.66834795023092, 1580.627662961306]
[-221.66834795023092, 1580.627662961306]
[-224.27734795873906, 1580.6154112996644]
[-224.27734795873906, 1580.6154112996644]
[-74.88311971974754, 1557.3295021433398]
[-74.88311971974754, 1557.3295021433398]
[-77.45284443527652, 1557.3174349154272]
[-77.45284443527652, 1557.3174349154272]
[-95.44091744397933, 1557.2329643200383]
[-95.44091744397933, 1557.2329643200383]
[37.83557260228173, 1549.8630027572494]
[37.83557260228173, 1549.8630027572494]
[32.722304216377665, 1549.8389912455812]
[32.722304216377665, 1549.8389912455812]
[19.81038761155547, 1545.780508649804]
[19.81038761155547, 1545.780508649804]
[57.83465602431894, 1541.9610992806695]
[57.83465602431894, 1541.9610992806695]
[39.84875377706845, 1537.8787896419399]
[39.84875377706845, 1537.8787896419399]
[-59.09383772921629, 1537.414162907891]
[-59.09383772921629, 1537.414162907891]
[29.39087752493877, 1529.8338626454881]
[29.39087752493877, 1529.8338626454881]
[-43.76718717898807, 1525.4924688119504]
[-43.76718717898807, 1525.4924688119504]
[-96.63150242614397, 1525.2442220886023]
[-96.63150242614397, 1525.2442220886023]
[-139.42641746326728, 1525.043260487487]
[-139.42641746326728, 1525.043260487487]
[-141.94376891274354, 1525.0314392003688]
[-141.94376891274354, 1525.0314392003688]
[21.582381096682745, 1522.8008988137885]
[21.582381096682745, 1522.8008988137885]
[16.557501677535413, 1522.777302369851]
[16.557501677535413, 1522.777302369851]
[-144.2385354282265, 1522.0222166536691]
[-144.2385354282265, 1522.0222166536691]
[-16.21553131011588, 1510.6297358914433]
[-16.21553131011588, 1510.6297358914433]
[-70.95013777720284, 1506.374738041824]
[-70.95013777720284, 1506.374738041824]
[-70.95013777720284, 1506.374738041824]
[-70.95013777720284, 1506.374738041824]
[-195.26262396839417, 1505.7909762504542]
[-195.26262396839417, 1505.7909762504542]
[-187.49290201374714, 1502.8290157608378]
[-187.49290201374714, 1502.8290157608378]
[-18.79238636370802, 1499.6233710579902]
[-18.79238636370802, 1499.6233710579902]
[-184.6034738209396, 1498.8447350544102]
[-184.6034738209396, 1498.8447350544102]
[-63.16408695225515, 1491.419187373386]
[103.60503221601233, 1485.2060264813279]
[103.60503221601233, 1485.2060264813279]
[-107.11568012637674, 1484.216498363239]
[-107.11568012637674, 1484.216498363239]
[-109.56592495271667, 1484.2049922036172]
[-109.56592495271667, 1484.2049922036172]
[-38.470770124296095, 1477.542553797114]
[-38.470770124296095, 1477.542553797114]
[-192.89983447927654, 1461.8251343852196]
[-192.89983447927654, 1461.8251343852196]
[-128.80256411614255, 1408.1545697603265]
[-128.80256411614255, 1408.1545697603265]
[99.48208204530793, 1340.2627838092058]
[99.48208204530793, 1340.2627838092058]
[100.64658469121085, 1245.3180818023056]
[100.64658469121085, 1245.3180818023056]
[-188.29629666924976, 1092.0409319438218]
[-188.29629666924976, 1092.0409319438218]
[-190.104934527897, 1092.032438720746]
[-190.104934527897, 1092.032438720746]
[12.151479373580019, 1084.9864015291291]
[12.151479373580019, 1084.9864015291291]
[-132.9114083885113, 1080.3073482246673]
[-132.9114083885113, 1080.3073482246673]
[-190.15899049924937, 1080.0385180201683]
[-190.15899049924937, 1080.0385180201683]
[13.62400086117859, 1076.997617901665]
[13.62400086117859, 1076.997617901665]
[24.268441590511927, 1076.048081486937]
[24.268441590511927, 1076.048081486937]
[36.61075496483876, 1074.1071154145295]
[36.61075496483876, 1074.1071154145295]
[34.83322292961708, 1074.0987682619877]
[34.83322292961708, 1074.0987682619877]
[22.293399556591936, 1072.0409576056952]
[22.293399556591936, 1072.0409576056952]
[-23.83725741908625, 1071.8243316192134]
[-23.83725741908625, 1071.8243316192134]
[-190.61732666588352, 1071.0411453523202]
[-190.61732666588352, 1071.0411453523202]
[-25.628986877314084, 1067.8179494128806]
[-25.628986877314084, 1067.8179494128806]
[-27.39669543273059, 1067.8096483906377]
[-27.39669543273059, 1067.8096483906377]
[-29.164403988147093, 1067.801347368395]
[-29.164403988147093, 1067.801347368395]
[-30.932113009219634, 1067.7930463439654]
[-30.932113009219634, 1067.7930463439654]
[71.40621922147086, 1066.2746945944907]
[71.40621922147086, 1066.2746945944907]
[-94.45070182839744, 1065.4958433599154]
[-94.45070182839744, 1065.4958433599154]
[72.97860502810713, 1064.2831537777238]
[72.97860502810713, 1064.2831537777238]
[-97.85409294287588, 1063.4809366807324]
[-97.85409294287588, 1063.4809366807324]
[58.72343947185674, 1062.2171688608842]
[58.72343947185674, 1062.2171688608842]
[56.96554694574879, 1062.2089139339535]
[56.96554694574879, 1062.2089139339535]
[-32.686747672373826, 1061.7879137133787]
[-32.686747672373826, 1061.7879137133787]
[128.44536467852458, 1058.5467283757719]
[128.44536467852458, 1058.5467283757719]
[77.65646163493378, 1058.3082276271275]
[77.65646163493378, 1058.3082276271275]
[75.90511809536261, 1058.3000034537297]
[75.90511809536261, 1058.3000034537297]
[124.79753262566972, 1057.5300765568095]
[124.79753262566972, 1057.5300765568095]
[84.55433817897163, 1057.3410976376324]
[84.55433817897163, 1057.3410976376324]
[82.80463374865883, 1057.3328811613644]
[82.80463374865883, 1057.3328811613644]
[129.7465803609708, 1055.5543922825084]
[129.7465803609708, 1055.5543922825084]
[122.76084571179985, 1055.521587814528]
[122.76084571179985, 1055.521587814528]
[-193.34313307891756, 1054.0371880525106]
[-193.34313307891756, 1054.0371880525106]
[-196.21186590872009, 1050.0258674686213]
[-196.21186590872009, 1050.0258674686213]
[-196.21186590872009, 1050.0258674686213]
[-196.21186590872009, 1050.0258674686213]
[196.57413983334195, 1049.87143546191]
[196.57413983334195, 1049.87143546191]
[199.61304470055907, 1047.8866621581578]
[200.90883081984813, 1045.8938224507167]
[193.98855623405856, 1045.8613253781157]
[193.98855623405856, 1045.8613253781157]
[152.46704282826033, 1045.6663435722746]
[152.46704282826033, 1045.6663435722746]
[173.03520234441757, 1044.7634081711176]
[173.03520234441757, 1044.7634081711176]
[171.30677653247685, 1044.7552916175907]
correct [196.57413983334195, 1049.87143546191]
correct [196.57413983334195, 1049.87143546191]
correct [199.61304470055907, 1047.8866621581578]
correct [200.90883081984813, 1045.8938224507167]
correct [193.98855623405856, 1045.8613253781157]
correct [193.98855623405856, 1045.8613253781157]
correct [152.46704282826033, 1045.6663435722746]
correct [152.46704282826033, 1045.6663435722746]
correct [173.03520234441757, 1044.7634081711176]
correct [173.03520234441757, 1044.7634081711176]
[183.2651758000564, 1046.6105509775712]
3.0623759019719796
[-293.8602524759963, 1711.2198263728576]
[-237.29528265251923, 1687.4981173671508]
[107.53175842869841, 1684.1200272817387]
[-232.83078002715203, 1673.5263717019473]
[62.06938501373261, 1664.9164577601266]
[59.32453264969349, 1664.9035681463624]
[70.06389349664907, 1660.956150114705]
[64.58727184065114, 1660.9304323242682]
[56.372339356654244, 1660.8918556386127]
[18.035972863675468, 1660.7118310355802]
[190.88181745137305, 1643.532941852652]
[9.388866948324896, 1642.6806650367598]
[6.478662303720886, 1633.6716594380218]
[179.92250845290744, 1621.4930686904593]
[133.1566515734211, 1582.2938936328262]
[130.547651564913, 1582.2816419711846]
[-41.5334098053871, 1565.4819274147908]
[-77.69287552517434, 1565.312125368912]
[-18.318604226137875, 1561.593093103789]
[-20.894876065579478, 1561.5809951310903]
[-23.523567004416133, 1549.5748649977115]
[-26.112972962475958, 1537.5690384902807]
[-81.79363194107631, 1533.3097171981851]
[-88.96489161959234, 1522.2817773970337]
[-91.31802717455126, 1518.2727588712225]
[-136.14692512442565, 1514.0643966070716]
[-38.65070296302678, 1510.5243820658134]
[-138.3625697712304, 1510.056142874625]
[-140.8553718343145, 1510.0444368695207]
[-121.60593540498984, 1336.2261251294303]
[-185.92245774415397, 1088.0542300701907]
[-133.47444511316678, 1086.3015972502149]
[-18.41625348015591, 1080.8450085899315]
[-20.2237975762683, 1078.837595884546]
[-186.29513739993124, 1078.0577377560428]
[11.802821967819607, 1075.9895439042336]
[10.022019164577848, 1075.9811813924189]
[-27.374844360059495, 1075.8055686224418]
[-29.157836741499526, 1073.7982712100036]
[-30.935366448441012, 1073.789924068395]
[27.616168457203482, 1072.0659529155284]
[25.841910915250196, 1072.0576211397529]
[24.06765337329691, 1072.0492893639773]
[22.293399556591936, 1072.0409576056952]
[-32.69982179746415, 1067.7847453206293]
[62.41163271383557, 1064.2335320954894]
[60.65046941970755, 1064.225261809286]
[72.40243846671692, 1058.2835551419207]
[126.5472370559825, 1057.5382930330777]
[-188.54739875604525, 1057.0581549500164]
[73.86078512306622, 1055.291956923521]
[195.68646637180223, 1053.8651162532658]
[181.74122282159402, 1053.7996304713836]
[127.70333701006754, 1053.5458727517073]
[124.21702612251548, 1053.5295013062366]
[197.00187709921178, 1051.872368701462]
[179.20804545896303, 1049.7898856299369]
[121.89989826112874, 1049.5207710164873]
[80.2212464309308, 1049.3250513007956]
[158.01297325830592, 1047.6913114498718]
[81.74615822968302, 1047.3331684030447]
[200.90883081984813, 1045.8938224507167]
[159.38731741404993, 1045.6988406448756]
[195.50473789964707, 1044.8689233669668]
[169.57836562152937, 1044.7471751340377]
[167.47456463402656, 1042.7383712292726]
[105.3690575578494, 1042.4467285859992]
[-191.35722257067786, 1041.0533249936366]
[199.81490129461582, 1040.8913143228322]
[196.37114764380794, 1040.8751427228437]
[103.38966496305564, 1040.4385088933952]
[-194.4954654111277, 1039.0396634301792]
[-194.4954654111277, 1039.0396634301792]
correct [199.81490129461582, 1040.8913143228322]
correct [196.37114764380794, 1040.8751427228437]
correct [103.38966496305564, 1040.4385088933952]
correct [-194.4954654111277, 1039.0396634301792]
correct [-194.4954654111277, 1039.0396634301792]
[22.116956615844792, 1040.056858559886]
0.26905455807066336
[0.9185352412394581, 1624.6503291559084]
[0.9185352412394581, 1624.6503291559084]
[134.48420936533373, 1621.2796939629088]
[134.48420936533373, 1621.2796939629088]
[-1.830702798380761, 1620.6395697102837]
[-1.830702798380761, 1620.6395697102837]
[91.34498217693478, 1616.0796252322182]
[91.34498217693478, 1616.0796252322182]
[-47.217187895089936, 1615.4289480307912]
[-47.217187895089936, 1615.4289480307912]
[-141.68984749433383, 1593.9964245355184]
[54.886435253775375, 1581.9263427689543]
[54.886435253775375, 1581.9263427689543]
[-23.38378758505489, 1581.5587918744686]
[-23.38378758505489, 1581.5587918744686]
[-25.992794112747553, 1581.5465401822134]
[-25.992794112747553, 1581.5465401822134]
[-143.11442467113392, 1576.9985777072568]
[-145.71688314360188, 1576.986356764161]
[-145.71688314360188, 1576.986356764161]
[61.5458339722967, 1561.968130309929]
[61.5458339722967, 1561.968130309929]
[58.96955654498263, 1561.95603231099]
[58.96955654498263, 1561.95603231099]
[56.393279117668556, 1561.9439343120512]
[56.393279117668556, 1561.9439343120512]
[-31.199965285970038, 1561.5326032315488]
[-31.199965285970038, 1561.5326032315488]
[-33.77623712541164, 1561.52050525885]
[-33.77623712541164, 1561.52050525885]
[-44.08132494883409, 1561.4721133658686]
[-44.08132494883409, 1561.4721133658686]
[109.42122569798575, 1550.19916343079]
[109.42122569798575, 1550.19916343079]
[106.86460268077866, 1550.1871577274362]
[106.86460268077866, 1550.1871577274362]
[118.87952530140193, 1542.2477612511195]
[118.87952530140193, 1542.2477612511195]
[116.33598535627515, 1542.2358169848574]
[116.33598535627515, 1542.2358169848574]
[-121.59677008361898, 1304.242897685621]
[-132.96644102880418, 1100.2965742744495]
[-132.96644102880418, 1100.2965742744495]
[63.44610698707894, 1076.2320567643553]
[63.44610698707894, 1076.2320567643553]
[-185.86631526875388, 1075.0613049703402]
[-185.86631526875388, 1075.0613049703402]
[-187.64711807199564, 1075.0529424585254]
[-187.64711807199564, 1075.0529424585254]
[65.05123027590251, 1074.2406696802648]
[65.05123027590251, 1074.2406696802648]
[71.59499670896263, 1068.274505697461]
